"time","metric","scenario","group","load_zone","tags","count","min","mean","median","p95","p99","max","stdev"
"2024-04-25T23:53:03+00:00","group_duration","default","::Categories details","","{}",5,1001.579083,1003.361836,1003.36181640625,1003.36181640625,1003.36181640625,1003.361836,0
"2024-04-25T23:53:03+00:00","group_duration","default","::Homepage","","{}",3,1016.034982,1020.08551866667,1020.1767578125,1020.1767578125,1020.1767578125,1020.176778,0.158065801998193
"2024-04-25T23:53:03+00:00","group_duration","default","::Product details","","{}",5,1000.936873,1002.902045,1002.90203857422,1002.90203857422,1002.90203857422,1002.902045,0
"2024-04-25T23:53:03+00:00","group_duration","default","::View cart","","{}",2,1020.023157,1036.3878895,1036.38787841797,1047.53784790039,1048.52895629883,1048.776779,17.5205355536416
"2024-04-25T23:53:06+00:00","group_duration","default","::Categories details","","{}",5,1001.287153,1003.533117,1003.51898193359,1003.57547607422,1003.58677490234,1003.589585,0.0315665716383873
"2024-04-25T23:53:06+00:00","group_duration","default","::Homepage","","{}",5,1014.855689,1021.9352268,1023.9990234375,1028.85107421875,1029.821484375,1030.064134,6.11775651960676
"2024-04-25T23:53:06+00:00","group_duration","default","::Product details","","{}",2,1002.161156,1003.8915195,1003.89151000977,1004.22678527832,1004.25658752441,1004.264039,0.526822129148458
"2024-04-25T23:53:06+00:00","group_duration","default","::View cart","","{}",3,1018.427888,1025.16273633333,1019.90301513672,1034.10432739258,1035.36666625977,1035.682209,9.11013056374939
"2024-04-25T23:53:09+00:00","group_duration","default","::Categories details","","{}",3,1001.899482,1003.273729,1003.27374267578,1003.27374267578,1003.27374267578,1003.273729,0
"2024-04-25T23:53:09+00:00","group_duration","default","::Homepage","","{}",5,1016.686708,1023.281723,1023.9990234375,1027.68349609375,1028.420390625,1028.604615,3.61226002852021
"2024-04-25T23:53:09+00:00","group_duration","default","::Product details","","{}",4,1001.732635,1003.958298,1003.51898193359,1005.01260375977,1005.22346801758,1005.276192,0.878596000000016
"2024-04-25T23:53:09+00:00","group_duration","default","::View cart","","{}",5,1027.321032,1031.49708,1032.19104003906,1032.69211425781,1032.79232910156,1032.8174,1.92106533777483
"2024-04-25T23:53:12+00:00","group_duration","default","::Categories details","","{}",4,1001.874567,1003.155123,1003.15515136719,1003.15515136719,1003.15515136719,1003.155123,0
"2024-04-25T23:53:12+00:00","group_duration","default","::Homepage","","{}",5,1013.859106,1016.4485266,1016.87622070312,1016.87622070312,1016.87622070312,1016.876211,0.585630983432654
"2024-04-25T23:53:12+00:00","group_duration","default","::Product details","","{}",5,1001.861629,1003.417907,1003.41790771484,1003.41790771484,1003.41790771484,1003.417907,0
"2024-04-25T23:53:12+00:00","group_duration","default","::View cart","","{}",5,1022.56373,1037.1295382,1028.09497070312,1065.05236816406,1071.62463378906,1073.267691,20.4084053869061
"2024-04-25T23:53:15+00:00","group_duration","default","::Categories details","","{}",6,1001.764109,1002.524062,1002.52404785156,1002.52404785156,1002.52404785156,1002.524062,0
"2024-04-25T23:53:15+00:00","group_duration","default","::Homepage","","{}",4,1014.142362,1021.23551225,1021.95101928711,1025.0479309082,1025.19601196289,1025.233049,4.27634964102173
"2024-04-25T23:53:15+00:00","group_duration","default","::Product details","","{}",6,1002.441219,1005.474467,1003.51898193359,1009.38537597656,1009.38537597656,1009.385401,3.02939645002327
"2024-04-25T23:53:15+00:00","group_duration","default","::View cart","","{}",5,1018.354752,1025.1480222,1028.09497070312,1029.41430664062,1029.67817382812,1029.744111,4.83512937577312
"2024-04-25T23:53:18+00:00","group_duration","default","::Categories details","","{}",7,1002.170927,1007.39958942857,1007.61499023438,1015.16109619141,1017.74833251953,1018.395126,5.26336319248276
"2024-04-25T23:53:18+00:00","group_duration","default","::Homepage","","{}",7,1014.268283,1027.20846285714,1019.90301513672,1053.65178222656,1061.00975097656,1062.84924,16.6938991313091
"2024-04-25T23:53:18+00:00","group_duration","default","::Product details","","{}",5,1002.084316,1008.9734624,1003.51898193359,1025.33680419922,1029.70036865234,1030.791312,12.1965487071167
"2024-04-25T23:53:18+00:00","group_duration","default","::View cart","","{}",4,1021.92761,1052.00820825,1052.67102050781,1077.86065673828,1078.52554931641,1078.691833,27.9062177205393
"2024-04-25T23:53:21+00:00","group_duration","default","::Categories details","","{}",5,1001.367371,1002.609491,1002.60949707031,1002.60949707031,1002.60949707031,1002.609491,1.2710574864626e-13
"2024-04-25T23:53:21+00:00","group_duration","default","::Homepage","","{}",7,1012.549852,1017.54405871429,1015.80700683594,1019.86010742188,1019.86010742188,1019.860137,2.16649285652239
