"time","metric","scenario","group","load_zone","tags","count"
"2024-04-26T00:03:15+00:00","iterations","default","","","{}",73
"2024-04-26T00:03:18+00:00","iterations","default","","","{}",72
"2024-04-26T00:03:21+00:00","iterations","default","","","{}",68
"2024-04-26T00:03:24+00:00","iterations","default","","","{}",87
"2024-04-26T00:03:27+00:00","iterations","default","","","{}",73
"2024-04-26T00:03:30+00:00","iterations","default","","","{}",68
"2024-04-26T00:03:33+00:00","iterations","default","","","{}",72
"2024-04-26T00:03:36+00:00","iterations","default","","","{}",84
"2024-04-26T00:03:39+00:00","iterations","default","","","{}",73
"2024-04-26T00:03:42+00:00","iterations","default","","","{}",68
"2024-04-26T00:03:45+00:00","iterations","default","","","{}",75
"2024-04-26T00:03:48+00:00","iterations","default","","","{}",84
"2024-04-26T00:03:51+00:00","iterations","default","","","{}",67
"2024-04-26T00:03:54+00:00","iterations","default","","","{}",72
"2024-04-26T00:03:57+00:00","iterations","default","","","{}",77
"2024-04-26T00:04:00+00:00","iterations","default","","","{}",81
"2024-04-26T00:04:03+00:00","iterations","default","","","{}",64
"2024-04-26T00:04:06+00:00","iterations","default","","","{}",75
"2024-04-26T00:04:09+00:00","iterations","default","","","{}",75
"2024-04-26T00:04:12+00:00","iterations","default","","","{}",79
"2024-04-26T00:04:15+00:00","iterations","default","","","{}",68
"2024-04-26T00:04:18+00:00","iterations","default","","","{}",78
"2024-04-26T00:04:21+00:00","iterations","default","","","{}",75
"2024-04-26T00:04:24+00:00","iterations","default","","","{}",75
"2024-04-26T00:04:27+00:00","iterations","default","","","{}",71
"2024-04-26T00:04:30+00:00","iterations","default","","","{}",68
"2024-04-26T00:04:33+00:00","iterations","default","","","{}",86
"2024-04-26T00:04:36+00:00","iterations","default","","","{}",74
"2024-04-26T00:04:39+00:00","iterations","default","","","{}",68
"2024-04-26T00:04:42+00:00","iterations","default","","","{}",66
"2024-04-26T00:04:45+00:00","iterations","default","","","{}",86
"2024-04-26T00:04:48+00:00","iterations","default","","","{}",77
"2024-04-26T00:04:51+00:00","iterations","default","","","{}",71
"2024-04-26T00:04:54+00:00","iterations","default","","","{}",64
"2024-04-26T00:04:57+00:00","iterations","default","","","{}",86
"2024-04-26T00:05:00+00:00","iterations","default","","","{}",78
"2024-04-26T00:05:03+00:00","iterations","default","","","{}",69
"2024-04-26T00:05:06+00:00","iterations","default","","","{}",67
"2024-04-26T00:05:09+00:00","iterations","default","","","{}",86
"2024-04-26T00:05:12+00:00","iterations","default","","","{}",73
